Date,Day,Shift,Duty Hrs,Peak A/F,Early Morning First Wave,Early Morning Second Wave,Early Morning Total,Advance First Wave,Advance Second Wave,Total Advance,Total DX BUP,Planned PMC,Planned ALF,Planned AKE,Total Planned F/W,Planned PMC,Planned ALF,Planned AKE,Total Palnned S/W,Build PMC,Build ALF,Build AKE,Total Build,Pending  PMC,Pending ALF,Pending AKE,Total Pending
1-Jan-23,Sun,1,DX,126,81,118,199,126,36,162,487,147,19,51,217,80,12,46,138,90,13,59,162,137,18,38,193
2-Jan-23,Mon,3,DX,72,71,74,145,83,66,149,366,79,13,56,148,85,18,58,161,68,15,66,149,96,16,48,160
3-Jan-23,Tue,3,DX,58,57,59,116,82,53,135,309,91,21,55,167,72,14,40,126,66,15,54,135,97,20,41,158
4-Jan-23,Wed,2,DX,74,69,66,135,94,63,157,366,84,6,70,160,69,10,63,142,83,13,61,157,70,3,72,145
5-Jan-23,Thu,2,DX,87,76,66,142,111,64,175,404,95,13,62,170,90,14,57,161,100,19,56,175,85,8,63,156
6-Jan-23,Fri,4,DX,138,74,83,157,119,51,170,465,107,15,69,191,80,6,39,125,80,9,81,170,107,12,27,146
7-Jan-23,Sat,4,DX,84,87,79,166,119,60,179,429,122,12,42,176,86,13,56,155,101,11,67,179,107,14,31,152
8-Jan-23,Sun,1,DX,92,78,91,169,99,36,135,396,122,18,45,185,111,18,48,177,68,13,54,135,165,23,39,227
9-Jan-23,Mon,1,DX,117,82,58,140,106,32,138,395,95,14,50,159,62,15,54,131,75,15,48,138,82,14,56,152
10-Jan-23,Tue,3,DX,83,67,75,142,102,68,170,395,99,15,58,172,80,11,61,152,85,16,69,170,94,10,50,154
11-Jan-23,Wed,3,DX,92,66,74,140,87,56,143,375,106,18,59,183,104,17,49,170,63,15,65,143,147,20,43,210
12-Jan-23,Thu,2,DX,143,95,70,165,121,51,172,480,142,7,61,210,116,15,41,172,100,9,63,172,158,13,39,210
13-Jan-23,Fri,2,DX,165,73,90,163,97,77,174,502,108,6,68,182,105,12,55,172,103,8,63,174,110,10,60,180
14-Jan-23,Sat,4,DX,171,75,81,156,116,75,191,518,128,15,59,202,101,18,70,189,96,14,81,191,133,19,48,200
15-Jan-23,Sun,4,DX,193,59,76,135,101,78,179,507,125,8,50,183,105,18,60,183,92,8,79,179,138,18,31,187
16-Jan-23,Mon,1,DX,143,62,87,149,105,55,160,452,88,12,37,137,80,19,59,158,87,19,54,160,81,12,42,135
17-Jan-23,Tue,1,DX,93,65,59,124,110,50,160,377,103,12,39,154,91,13,32,136,87,21,52,160,107,4,19,130
18-Jan-23,Wed,3,DX,138,70,62,132,103,49,152,422,110,30,74,214,112,13,44,169,72,16,64,152,150,27,54,231
19-Jan-23,Thu,3,DX,144,65,97,162,100,46,146,452,122,5,46,173,109,7,31,147,91,4,51,146,140,8,26,174
20-Jan-23,Fri,2,DX,124,79,68,147,115,49,164,435,146,16,48,210,98,10,43,151,111,14,39,164,133,12,52,197
21-Jan-23,Sat,2,DX,167,96,82,178,116,58,174,519,119,16,67,202,99,12,52,163,111,18,45,174,107,10,74,191
22-Jan-23,Sun,4,DX,185,64,82,146,138,56,194,525,127,19,54,200,104,21,49,174,117,20,57,194,114,20,46,180
23-Jan-23,Mon,4,DX,149,85,73,158,116,48,164,471,121,20,39,180,95,8,36,139,104,13,47,164,112,15,28,155
24-Jan-23,Tue,1,DX,90,47,67,114,115,54,169,373,105,10,52,167,105,8,34,147,96,10,63,169,114,8,23,145
25-Jan-23,Wed,1,DX,106,61,74,135,100,47,147,388,94,10,49,153,96,13,18,127,87,12,48,147,103,11,19,133
26-Jan-23,Thu,3,DX,123,87,57,144,86,45,131,398,124,9,34,167,83,11,30,124,82,5,44,131,125,15,20,160
27-Jan-23,Fri,3,DX,92,71,68,139,91,41,132,363,89,12,30,131,80,6,28,114,77,15,40,132,92,3,18,113
28-Jan-23,Sat,2,DX,108,72,65,137,118,54,172,417,101,22,52,175,101,15,50,166,92,22,58,172,110,15,44,169
29-Jan-23,Sun,2,DX,92,64,70,134,117,62,179,405,93,54,45,192,107,18,44,169,88,31,60,179,112,41,29,182
30-Jan-23,Mon,4,DX,100,75,77,152,92,49,141,393,99,7,44,150,95,11,32,138,88,12,41,141,106,6,35,147
31-Jan-23,Tue,4,DX,94,63,62,125,94,36,130,349,65,14,43,122,64,12,45,121,58,15,57,130,71,11,31,113
1-Feb-23,Wed,1,DX,84,92,63,155,100,44,144,383,85,17,49,151,86,19,41,146,74,10,60,144,97,26,30,153
2-Feb-23,Thu,1,DX,110,73,69,142,90,45,135,387,87,7,46,140,96,14,44,154,77,8,50,135,106,13,40,159
3-Feb-23,Fri,3,DX,120,65,84,149,85,48,133,402,98,12,43,153,99,9,50,158,87,10,36,133,110,11,57,178
4-Feb-23,Sat,3,DX,87,77,79,156,118,57,175,418,132,25,74,231,96,18,87,201,87,18,70,175,141,25,91,257
5-Feb-23,Sun,2,DX,162,88,102,190,119,68,187,539,127,17,57,201,89,16,44,149,110,12,65,187,106,21,36,163
6-Feb-23,Mon,2,DX,133,81,98,179,103,72,175,487,97,9,59,165,91,16,54,161,110,14,51,175,78,11,62,151
7-Feb-23,Tue,4,DX,98,102,63,165,97,74,171,434,116,10,36,162,86,15,60,161,86,14,71,171,116,11,25,152
8-Feb-23,Wed,4,DX,114,99,65,164,114,27,141,419,123,10,42,175,90,10,43,143,85,7,49,141,128,13,36,177
9-Feb-23,Thu,1,DX,105,85,66,151,99,36,135,391,114,14,38,166,84,8,55,147,78,7,50,135,120,15,43,178
10-Feb-23,Fri,1,DX,106,75,73,148,110,42,152,406,116,13,43,172,108,7,50,165,90,10,52,152,134,10,41,185
11-Feb-23,Sat,3,DX,127,81,67,148,92,77,169,444,130,17,60,207,124,17,61,202,97,15,57,169,157,19,64,240
12-Feb-23,Sun,3,DX,136,80,72,152,93,57,150,438,95,13,46,154,113,16,43,172,85,13,52,150,123,16,37,176
13-Feb-23,Mon,2,DX,130,63,75,138,97,72,169,437,104,19,61,184,105,7,60,172,91,17,61,169,118,9,60,187
14-Feb-23,Tue,2,DX,125,66,89,155,116,57,173,453,134,13,59,206,92,11,53,156,111,17,45,173,115,7,67,189
15-Feb-23,Wed,4,DX,150,91,51,142,65,54,119,411,90,17,44,151,99,8,44,151,61,10,48,119,128,15,40,183
16-Feb-23,Thu,4,DX,148,100,61,161,117,44,161,470,96,13,33,142,116,14,47,177,115,6,40,161,97,21,40,158
17-Feb-23,Fri,1,DX,129,87,89,176,91,44,135,440,119,25,42,186,117,10,47,174,74,11,50,135,162,24,39,225
18-Feb-23,Sat,1,DX,169,84,88,172,102,41,143,484,132,21,52,205,121,14,52,187,86,17,40,143,167,18,64,249
19-Feb-23,Sun,3,DX,146,76,86,162,96,50,146,454,130,19,57,206,124,23,55,202,88,17,41,146,166,25,71,262
20-Feb-23,Mon,3,DX,149,73,73,146,55,90,145,440,112,12,65,189,99,25,57,181,64,21,60,145,147,16,62,225
21-Feb-23,Tue,2,DX,161,89,87,176,108,69,177,514,107,6,63,176,89,15,81,185,96,9,72,177,100,12,72,184
22-Feb-23,Wed,2,DX,164,68,91,159,109,77,186,509,109,20,72,201,122,15,83,220,93,22,71,186,138,13,84,235
23-Feb-23,Thu,4,DX,162,76,81,157,95,63,158,477,99,7,53,159,119,11,57,187,99,15,44,158,119,3,66,188
24-Feb-23,Fri,4,DX,185,87,100,187,100,57,157,529,128,9,44,181,94,6,51,151,91,11,55,157,131,4,40,175
25-Feb-23,Sat,1,DX,116,84,96,180,121,54,175,471,126,15,47,188,120,12,63,195,111,11,53,175,135,16,57,208
26-Feb-23,Sun,1,DX,122,75,110,185,117,52,169,476,123,16,44,183,113,14,66,193,107,9,53,169,129,21,57,207
27-Feb-23,Mon,3,DX,107,72,92,164,67,84,151,422,105,17,51,173,85,17,67,169,98,10,43,151,92,24,75,191
28-Feb-23,Tue,3,DX,110,81,63,144,112,46,158,412,134,18,71,223,93,15,63,171,85,16,57,158,142,17,77,236
1-Mar-23,Wed,2,DX,180,73,74,147,144,69,213,540,152,16,52,220,123,15,91,229,125,20,68,213,150,11,75,236
2-Mar-23,Thu,2,DX,186,103,96,199,160,82,242,627,157,19,75,251,130,14,109,253,128,29,85,242,159,4,99,262
3-Mar-23,Fri,4,DX,225,91,103,194,93,47,140,559,129,16,45,190,121,24,33,178,84,14,42,140,166,26,36,228
4-Mar-23,Sat,4,DX,170,123,99,222,129,75,204,596,118,24,39,181,125,27,73,225,106,19,79,204,137,32,33,202
