Date,Day,Shift,Duty Hrs,Peak E/M,Late Morning,Advance First Wave,Advance Second Wave,Total Advance,Total  NI BUP,Planned PMC,Planned ALF,Planned AKE,Total Planned F/W,Planned PMC,Planned ALF,Planned AKE,Total Palnned S/W,Build PMC,Build ALF,Build AKE,Total Build,Pending  PMC,Pending ALF,Pending AKE,Total Pending
1-Jan-23,Sun,2,NI,48,259,101,48,149,456,84,9,32,125,48,4,24,76,101,13,35,149,31,0,21,52
2-Jan-23,Mon,4,NI,20,185,69,56,125,330,68,5,36,109,43,5,22,70,72,9,44,125,39,1,14,54
3-Jan-23,Tue,4,NI,38,194,95,69,164,396,91,21,55,167,72,14,40,126,66,15,54,135,97,20,41,158
4-Jan-23,Wed,1,NI,40,163,89,71,160,363,75,9,35,119,66,7,34,107,99,15,46,160,42,1,23,66
5-Jan-23,Thu,1,NI,31,166,72,53,125,322,80,10,30,120,65,5,28,98,84,9,32,125,61,6,26,93
6-Jan-23,Fri,3,NI,43,190,87,46,133,366,66,7,44,117,43,14,24,81,79,16,38,133,30,5,30,65
7-Jan-23,Sat,3,NI,32,208,109,50,159,399,94,6,53,153,50,9,34,93,95,12,52,159,49,3,35,87
8-Jan-23,Sun,2,NI,43,284,95,25,120,447,101,12,27,140,63,5,22,90,80,16,24,120,84,1,25,110
9-Jan-23,Mon,2,NI,43,197,84,52,136,376,72,9,30,111,54,4,37,95,82,12,42,136,44,1,25,70
10-Jan-23,Tue,4,NI,37,192,128,51,179,408,88,10,58,156,55,9,26,90,103,8,68,179,40,11,16,67
11-Jan-23,Wed,4,NI,44,293,118,51,169,506,104,11,38,153,79,6,26,111,110,13,46,169,73,4,18,95
12-Jan-23,Thu,1,NI,57,242,100,34,134,433,103,7,45,155,66,9,33,108,85,12,37,134,84,4,41,129
13-Jan-23,Fri,1,NI,40,223,79,33,112,375,94,12,23,129,66,4,30,100,78,11,23,112,82,5,30,117
14-Jan-23,Sat,3,NI,39,287,89,42,131,457,109,10,54,173,77,9,26,112,78,11,42,131,108,8,38,154
15-Jan-23,Sun,3,NI,42,253,115,55,170,465,84,9,48,141,82,9,28,119,94,15,61,170,72,3,15,90
16-Jan-23,Mon,2,NI,21,207,132,51,183,411,105,12,45,162,55,4,36,95,118,15,50,183,42,1,31,74
17-Jan-23,Tue,2,NI,45,204,94,37,131,380,86,6,27,119,59,9,31,99,77,9,45,131,68,6,13,87
18-Jan-23,Wed,4,NI,45,278,109,28,137,460,105,5,31,141,71,7,20,98,94,5,38,137,82,7,13,102
19-Jan-23,Thu,4,NI,59,281,134,51,185,525,94,12,40,146,65,4,20,89,122,14,49,185,37,2,11,50
20-Jan-23,Fri,1,NI,45,219,94,34,128,392,100,4,54,158,71,9,30,110,72,5,51,128,99,8,33,140
21-Jan-23,Sat,1,NI,55,232,97,38,135,422,101,11,60,172,48,3,36,87,75,13,47,135,74,1,49,124
22-Jan-23,Sun,3,NI,40,256,126,59,185,481,108,12,47,167,71,9,36,116,114,15,56,185,65,6,27,98
23-Jan-23,Mon,3,NI,43,179,116,51,167,389,97,11,32,140,52,6,35,93,113,14,40,167,36,3,27,66
24-Jan-23,Tue,2,NI,27,209,87,41,128,364,87,2,28,117,63,5,24,92,105,3,20,128,45,4,32,81
25-Jan-23,Wed,2,NI,32,219,113,66,179,430,104,7,27,138,91,5,25,121,130,12,37,179,65,0,15,80
26-Jan-23,Thu,4,NI,47,249,91,61,152,448,76,7,19,102,95,8,36,139,113,5,34,152,58,10,21,89
27-Jan-23,Fri,4,NI,28,217,90,43,133,378,64,5,35,104,40,6,16,62,89,9,35,133,15,2,16,33
28-Jan-23,Sat,1,NI,20,188,77,29,106,314,60,7,33,100,34,12,22,68,49,7,50,106,45,12,5,62
29-Jan-23,Sun,1,NI,31,196,107,32,139,366,75,5,35,115,50,9,25,84,83,8,48,139,42,6,12,60
30-Jan-23,Mon,3,NI,19,153,90,38,128,300,64,9,46,119,35,8,26,69,68,13,47,128,31,4,25,60
31-Jan-23,Tue,3,NI,36,143,91,50,141,320,75,9,40,124,50,5,33,88,87,14,40,141,38,0,33,71
1-Feb-23,Wed,2,NI,34,231,78,39,117,382,68,2,34,104,68,8,15,91,72,3,42,117,64,7,7,78
2-Feb-23,Thu,2,NI,38,233,119,59,178,449,100,9,47,156,80,2,38,120,116,11,51,178,64,0,34,98
3-Feb-23,Fri,4,NI,32,253,103,44,147,432,99,14,21,134,57,8,19,84,113,8,26,147,43,14,14,71
4-Feb-23,Sat,4,NI,59,277,118,31,149,485,114,2,44,160,66,9,22,97,103,3,43,149,77,8,23,108
5-Feb-23,Sun,1,NI,28,186,106,30,136,350,77,12,53,142,63,8,30,101,83,11,42,136,57,9,41,107
6-Feb-23,Mon,1,NI,19,195,80,44,124,338,78,8,19,105,67,7,14,88,86,9,29,124,59,6,4,69
7-Feb-23,Tue,3,NI,39,236,105,61,166,441,85,5,49,139,66,7,31,104,102,11,53,166,49,1,27,77
8-Feb-23,Wed,3,NI,43,230,102,48,150,423,90,9,44,143,70,6,24,100,102,9,39,150,58,6,29,93
9-Feb-23,Thu,2,NI,41,243,109,60,169,453,98,12,25,135,83,8,32,123,115,18,36,169,66,2,21,89
10-Feb-23,Fri,2,NI,34,273,133,55,188,495,104,13,38,155,73,7,47,127,127,18,43,188,50,2,42,94
11-Feb-23,Sat,4,NI,48,310,101,28,129,487,83,9,37,129,50,10,40,100,81,7,41,129,52,12,36,100
12-Feb-23,Sun,4,NI,33,211,119,74,193,437,85,8,61,154,71,2,37,110,101,10,82,193,55,0,16,71
13-Feb-23,Mon,1,NI,27,183,115,54,169,379,99,15,42,156,89,5,21,115,118,11,40,169,70,9,23,102
14-Feb-23,Tue,1,NI,23,218,95,49,144,385,108,7,24,139,67,4,38,109,99,9,36,144,76,2,26,104
15-Feb-23,Wed,3,NI,50,235,93,37,130,415,97,7,40,144,65,3,34,102,94,6,30,130,68,4,44,116
16-Feb-23,Thu,3,NI,65,237,103,30,133,435,80,10,60,150,72,2,22,96,75,9,49,133,77,3,33,113
17-Feb-23,Fri,2,NI,48,299,103,52,155,502,105,5,49,159,65,5,39,109,108,7,40,155,62,3,48,113
18-Feb-23,Sat,2,NI,71,325,103,36,139,535,92,10,54,156,63,4,36,103,77,11,51,139,78,3,39,120
19-Feb-23,Sun,4,NI,55,320,115,43,158,533,110,17,30,157,75,15,32,122,100,18,40,158,85,14,22,121
20-Feb-23,Mon,4,NI,44,254,134,52,186,484,110,17,30,157,75,15,32,122,113,10,63,186,72,22,-1,93
21-Feb-23,Tue,1,NI,30,200,128,53,181,411,104,8,54,166,70,3,50,123,93,9,79,181,81,2,25,108
22-Feb-23,Wed,1,NI,55,257,146,28,174,486,102,7,68,177,67,1,31,99,101,4,69,174,68,4,30,102
23-Feb-23,Thu,3,NI,67,257,118,74,192,516,95,10,77,182,95,10,77,182,127,13,95,235,63,7,59,129
